,Name,Url,Review,Rating,Category 1,Category 2
15405,Latin Groove Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15619782-Reviews-Latin_Groove_Kitchen-London_England.html,4 reviews,3 of 5 bubbles,Latin,"££ - £££
Latin
Spanish
Venezuelan
South American
Colombian"
15406,Kaki,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d16746722-Reviews-Kaki-London_England.html,4 reviews,3 of 5 bubbles,,
15408,Messapica Highgate,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15307219-Reviews-Messapica_Highgate-London_England.html,6 reviews,3 of 5 bubbles,Italian,"££ - £££
Italian
Pizza
Cafe
Deli"
15409,Bokor Kilburn,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15704214-Reviews-Bokor_Kilburn-London_England.html,2 reviews,3 of 5 bubbles,,
15410,Stamford Larder,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12496610-Reviews-Stamford_Larder-London_England.html,2 reviews,3 of 5 bubbles,,
15411,Feast,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10338284-Reviews-Feast-London_England.html,23 reviews,3 of 5 bubbles,Indian,"£
Indian
Asian
Halal"
15412,Bam!,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d15704098-Reviews-Bam-London_England.html,2 reviews,3 of 5 bubbles,,
15413,Pizza Go Go,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5122849-Reviews-Pizza_Go_Go-London_England.html,6 reviews,3 of 5 bubbles,Pizza,Pizza
15414,Tower Hill Diner,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2324469-Reviews-Tower_Hill_Diner-London_England.html,138 reviews,3 of 5 bubbles,British,"£
British"
15415,Pizza Express,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d733760-Reviews-Pizza_Express-London_England.html,39 reviews,3 of 5 bubbles,Italian,"££ - £££
Italian
Vegetarian Friendly"
15416,Bubbleology,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9819261-Reviews-Bubbleology-London_England.html,3 reviews,3 of 5 bubbles,,
15417,Atami,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12986920-Reviews-Atami-London_England.html,3 reviews,3 of 5 bubbles,,
15418,Sydenham Kebab Shop,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5244315-Reviews-Sydenham_Kebab_Shop-London_England.html,5 reviews,3 of 5 bubbles,,
15419,Chilli Garlic,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5817450-Reviews-Chilli_Garlic-London_England.html,9 reviews,3 of 5 bubbles,,
15420,Opera Bar & Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12218203-Reviews-Opera_Bar_Restaurant-London_England.html,3 reviews,3 of 5 bubbles,European,"££ - £££
European
Russian
Latvian
Eastern European"
15421,Signature Bites,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11728199-Reviews-Signature_Bites-London_England.html,2 reviews,3 of 5 bubbles,American,"££ - £££
American
Grill"
15422,La Pergola,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1841418-Reviews-La_Pergola-London_England.html,188 reviews,2.5 of 5 bubbles,,
15423,Coco di Mama,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12725582-Reviews-Coco_di_Mama-London_England.html,4 reviews,3 of 5 bubbles,Italian,"£
Italian
Fast food"
15424,Chichi's Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6424336-Reviews-Chichi_s_Cafe-London_England.html,7 reviews,3.5 of 5 bubbles,,
15425,The Alwyne Castle,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4419207-Reviews-The_Alwyne_Castle-London_England.html,144 reviews,3 of 5 bubbles,British,"££ - £££
Bar
British
Pub
Vegetarian Friendly"
15426,Marrakech,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7727870-Reviews-Marrakech-London_England.html,2 reviews,3 of 5 bubbles,Lebanese,"Lebanese
Mediterranean"
15427,The town grill,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4239172-Reviews-The_town_grill-London_England.html,7 reviews,3 of 5 bubbles,Middle Eastern,Middle Eastern
15428,Chikara,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3241384-Reviews-Chikara-London_England.html,5 reviews,3 of 5 bubbles,Chinese,Chinese
15429,KFC,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4923271-Reviews-KFC-London_England.html,3 reviews,3.5 of 5 bubbles,American,American
15430,Lord Palmerston,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8088568-Reviews-The_Lord_Palmerston-London_England.html,11 reviews,3 of 5 bubbles,,"£
Pub"
15431,Clapton Hart,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3661713-Reviews-Clapton_Hart-London_England.html,93 reviews,3 of 5 bubbles,British,"££ - £££
Bar
British
Pub"
15432,"Astoria Cafe,Bar and Grill",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10275322-Reviews-Astoria_Cafe_Bar_and_Grill-London_England.html,7 reviews,3 of 5 bubbles,British,"££ - £££
British"
15433,Troyganic,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5540034-Reviews-Troyganic-London_England.html,13 reviews,3 of 5 bubbles,Cafe,Cafe
15434,Yo! Sushi - Paddington Station,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d680469-Reviews-Yo_Sushi_Paddington_Station-London_England.html,160 reviews,3 of 5 bubbles,Japanese,"££ - £££
Japanese
Fast food
Sushi
Asian"
15435,Boceto Hackney,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9695188-Reviews-Boceto_Hackney-London_England.html,14 reviews,3.5 of 5 bubbles,Mediterranean,"££ - £££
Mediterranean
Spanish"
